Team Number,Team Name,EPA,Tier,Can Trench,Robot Type,Playstyle,Robot Status,备注
3620,Average Joes,42.3,T2,否,高车 炮台,大6941 边吃边大 mid court feed,不稳定,发射慢
3630,Stampede,106.7,T3,是,低车 炮台,cycle,中下,稳定 和254打势均力敌
3770,BlitzCreek,158.2,T4,否,中高车 1cc,超慢cycle,差,N/A
4391,BraveBots,175.5,T1,是,矮wcp,cycle,高,操作手很唐
4451,ROBOTZ Garage,93.5,T1.5,是,矮车 1cc,快cycle,不稳定,intake不好用
4522,Team SCREAM,212.7,T1,是,矮 瀑布,快cycle,稳定,操作手有点唐
4635,PrepaTec - Botbusters,200,T0.5,是,矮 炮台,快cycle 一边打一边收,高稳定,发射慢
4946,The Alpha Dogs,265,T1.5,否,半圆式中心炮台 超高车,Feed 在家打,稳定,操作手躺中唐
4967,That ONE Team-OurNextEngineers,39.4,T3,是,低车 1cc,推球 打球,差,速度很快 对标27
5026,Iron Panthers,178.8,T0,是,低瀑布,快cycle,稳定,feed很快
5968,Little Apple Cyborgs,50.2,T2,是,低车 炮台,cycle,中等,感觉操作手有点克制他们的机器
6324,The Blue Devils,41.2,T2,是,瀑布,cycle,一般,乌龟速度 感觉没买seasonal pass
6652,Tigres,54.4,T2.5,是,1cc,cycle,偏下,发射非常快
6766,AtomStorm,129.9,T2,是,现在是瀑布,cycle,中等,感觉哥们儿有气无力
6829,Ignite Robotics,100.8,T2.5,否,瀑布,自家打 不经常去mid,一般,挂车狂魔
6940,Violet Z,76.6,T3,是,中心炮台,cycle,中,正规炮台打法
7220,Steel Falcons,168.6,T0,是,小瀑布,cycle,高很稳,机器感觉没检修
7257,Semiconductors,118.6,T1,是,炮台,feed + cycle,稳定,HP自动给我看爽了
7403,Lightning Blue Lizards,22.4,T4,是,辅助车,推球,差,炮台跑cycle 有点帅
7551,Extreme Mechanism,46.5,T4,是,辅助车,全力以赴的得分,差,N/A
7558,ALT-F4,235.8,T0.5,是,瀑布,Feed 跑Cycle,极好,N/A
7563,SESI SENAI MEGAZORD,109.1,T3,是,炮台,推球 在家打,中规中矩,自动没打完
8612,Calvin Christian Robotics,133.5,T3,是,2CC,跑Cycle 最后挂车,中规中矩,自动坏了
9072,TigerBots,172.7,T1,是,炮台,Feed 跑Cycle,极好,正版挂车狂魔
9277,Sparkans,73.1,T4,是,炮台,在家打球,中下,瀑布但是一次只能打一个球
9483,Overcharge,346.3,T0,否,炮台,Feed 在家打,完美,Double Swipe 跑的有点飘
9484,Robot's District,82.7,T3,是,炮台,跑Cycle(?),中规中矩,逛街来的
9597,Luban Robotics,126.5,N/A,否,3CC,N/A,N/A,逛街来的
9646,The Marinators,38.4,T4,否,防守车,防守,中规中矩,
9757,Mecha Marauders,134.1,T3,是,炮台,Cycle(?),中下,
10014,REBELLION,95.1,T3,是,3CC,跑Cycle,中规中矩,
10114,Phantom Talons,46.6,T4,是,防守,防守 挂车,差,
10217,Catahoula Blue Dogs,58.4,T4,是,1CC,跑Cycle,差,
10340,ITKAN Girls,220.7,T0.5,是,瀑布,Feed 跑Cycle,极好,
10396,Mostra,63.9,T4,是,炮台,转圈圈,中下,
11269,Batteries Not Included,17.4,T4,是,炮台？,转圈圈,差,
